onset	duration	event_type	stimulus_name	task_name
107.4255	15.0	block_start	block_start	extinction
122.4255	8.0	CS-	square	extinction
139.4255	8.0	CS+	diamond	extinction
156.67150000000004	8.0	CS-	square	extinction
171.9235	8.0	CS-	square	extinction
187.6735	8.0	CS+	diamond	extinction
203.67650000000003	8.0	CS-	square	extinction
219.92550000000008	8.0	CS+	diamond	extinction
236.67550000000008	8.0	CS+	diamond	extinction
251.4245	8.0	CS-	square	extinction
266.4245	8.0	CS+	diamond	extinction
280.9275	8.0	CS+	diamond	extinction
297.42650000000003	8.0	CS-	square	extinction
312.92650000000003	8.0	CS-	square	extinction
327.17550000000006	8.0	CS+	diamond	extinction
343.4245	8.0	CS-	square	extinction
358.6745	8.0	CS+	diamond	extinction
373.6775	8.0	CS+	diamond	extinction
388.4265	8.0	CS-	square	extinction
404.9265	8.0	CS-	square	extinction
420.42550000000006	8.0	CS+	diamond	extinction
434.92550000000006	8.0	CS-	square	extinction
450.9245	8.0	CS-	square	extinction
467.6775	8.0	CS+	diamond	extinction
484.6775	8.0	CS-	square	extinction
500.4265	8.0	CS+	diamond	extinction
517.6725	8.0	CS-	square	extinction
534.6755	8.0	CS-	square	extinction
551.4285	8.0	CS+	diamond	extinction
567.4275	8.0	CS-	square	extinction
583.9275	8.0	CS+	diamond	extinction
601.1735	8.0	CS-	square	extinction
616.4265	8.0	CS+	diamond	extinction
630.9255	8.0	CS+	diamond	extinction
646.4285	8.0	CS-	square	extinction
661.1785	8.0	CS-	square	extinction
676.9275	8.0	CS+	diamond	extinction
691.1765	8.0	CS+	diamond	extinction
707.4265	8.0	CS-	square	extinction
722.4265	8.0	CS+	diamond	extinction
739.1785	8.0	CS+	diamond	extinction
762.1785	0.0	block_end	block_end	extinction
