onset	duration	event_type	stimulus_name	task_name
97.36249999999995	15.0	block_start	block_start	extinction
112.36249999999995	8.0	CS-	diamond	extinction
126.61249999999995	8.0	CS+	square	extinction
141.86149999999998	8.0	CS-	diamond	extinction
157.61149999999998	8.0	CS+	square	extinction
173.6105	8.0	CS+	square	extinction
188.36349999999996	8.0	CS-	diamond	extinction
202.86249999999995	8.0	CS+	square	extinction
217.86249999999995	8.0	CS-	diamond	extinction
234.3615	8.0	CS+	square	extinction
250.6115	8.0	CS-	diamond	extinction
267.6115	8.0	CS+	square	extinction
284.8605	8.0	CS-	diamond	extinction
301.61250000000007	8.0	CS+	square	extinction
318.61250000000007	8.0	CS+	square	extinction
334.86149999999986	8.0	CS-	diamond	extinction
350.36149999999986	8.0	CS-	diamond	extinction
367.6104999999999	8.0	CS+	square	extinction
383.6135	8.0	CS-	diamond	extinction
400.36250000000007	8.0	CS+	square	extinction
415.61250000000007	8.0	CS-	diamond	extinction
429.8614999999999	8.0	CS+	square	extinction
445.6145	8.0	CS-	diamond	extinction
462.1145	8.0	CS-	diamond	extinction
477.1135	8.0	CS+	square	extinction
491.6135	8.0	CS-	diamond	extinction
506.36250000000007	8.0	CS+	square	extinction
523.6084999999999	8.0	CS-	diamond	extinction
538.1145	8.0	CS+	square	extinction
552.3645	8.0	CS-	diamond	extinction
568.6135	8.0	CS+	square	extinction
583.8635	8.0	CS+	square	extinction
599.6125000000001	8.0	CS-	diamond	extinction
616.3625000000001	8.0	CS-	diamond	extinction
631.1155	8.0	CS+	square	extinction
646.1145	8.0	CS-	diamond	extinction
662.1145	8.0	CS-	diamond	extinction
678.6135	8.0	CS+	square	extinction
694.1135	8.0	CS-	diamond	extinction
711.1125000000001	8.0	CS+	square	extinction
726.1155	8.0	CS+	square	extinction
749.1155	0.0	block_end	block_end	extinction
