onset	duration	event_type	blink	message
21141931				NO Reply is disabled for function eyelink_cal_result
21141985				RECCFG CR 1000 2 0 LR
21141985				ELCLCFG BTOWER
21141985				GAZE_COORDS 0.00 0.00 1920.00 1080.00
21141985				THRESHOLDS L 146 237 R 136 243
21141985				ELCL_WINDOW_SIZES 160 160 0 0
21141985				CAMERA_LENS_FOCAL_LENGTH 27.00
21141985				PUPIL_DATA_TYPE RAW_AUTOSLIP
21141985				ELCL_PROC ELLIPSE (5)
21141985				ELCL_EFIT_PARAMS 1.01 4.00 0.15 0.05 0.65 0.65 0.00 0.00 0.30
21141993	430.0	fixation	0.0	
21142456	102.0	blink	1.0	
21142424	190.0	saccade	0.0	
21142635	141.0	fixation	0.0	
21142777	56.0	saccade	0.0	
21142833	495.0	fixation	0.0	
21143330	28.0	saccade	0.0	
21143359	1869.0	fixation	0.0	
21145229	6.0	saccade	0.0	
21145245	835.0	fixation	0.0	
21146071	31.0	saccade	0.0	
21146103	508.0	fixation	0.0	
21146611	29.0	saccade	0.0	
21146641	91.0	fixation	0.0	
21146761	60.0	blink	1.0	
21146733	126.0	saccade	0.0	
21146876	257.0	fixation	0.0	
21147163	81.0	blink	1.0	
21147138	142.0	saccade	0.0	
21147313	866.0	fixation	0.0	
21148214	84.0	blink	1.0	
21148186	169.0	saccade	0.0	
21148362	197.0	fixation	0.0	
21148552	32.0	saccade	0.0	
21148593	4185.0	fixation	0.0	
21152804	113.0	blink	1.0	
21152771	207.0	saccade	0.0	
21153006	2495.0	fixation	0.0	
21155474	44.0	saccade	0.0	
21155517	420.0	fixation	0.0	
21155939	29.0	saccade	0.0	
21155968	555.0	fixation	0.0	
21156530	16.0	saccade	0.0	
21156540	231.0	fixation	0.0	
21156771	31.0	saccade	0.0	
21156802	303.0	fixation	0.0	
21157134	238.0	blink	1.0	
21157106	316.0	saccade	0.0	
21157429	434.0	fixation	0.0	
21157864	28.0	saccade	0.0	
21157893	862.0	fixation	0.0	
21158757	32.0	saccade	0.0	
21158788	249.0	fixation	0.0	
21159038	29.0	saccade	0.0	
21159067	316.0	fixation	0.0	
21159409	108.0	blink	1.0	
21159384	190.0	saccade	0.0	
21159594	747.0	fixation	0.0	
21160341	17.0	saccade	0.0	
21160361	169.0	fixation	0.0	
21160527	23.0	saccade	0.0	
21160557	204.0	fixation	0.0	
21160754	52.0	saccade	0.0	
21160807	127.0	fixation	0.0	
21160934	51.0	saccade	0.0	
21160992	154.0	fixation	0.0	
21161147	67.0	saccade	0.0	
21161216	139.0	fixation	0.0	
21161354	52.0	saccade	0.0	
21161410	173.0	fixation	0.0	
21161583	31.0	saccade	0.0	
21161616	100.0	fixation	0.0	
21161714	7.0	saccade	0.0	
21161721	152.0	fixation	0.0	
21161930	106.0	blink	1.0	
21161901	184.0	saccade	0.0	
21162091	144.0	fixation	0.0	
21162263	453.0	blink	1.0	
21162235	539.0	saccade	0.0	
21162796	223.0	fixation	0.0	
21163066	981.0	blink	1.0	
21162998	1108.0	saccade	0.0	
21164124	45.0	fixation	0.0	
21164150	13.0	saccade	0.0	
21164163	95.0	fixation	0.0	
21164295	1164.0	blink	1.0	
21164266	1255.0	saccade	0.0	
21165527	78.0	fixation	0.0	
21165591	15.0	saccade	0.0	
21165606	66.0	fixation	0.0	
21165672	14.0	saccade	0.0	
21165686	182.0	fixation	0.0	
21165741	867.0	blink	1.0	
21165713	959.0	saccade	0.0	
21166689	151.0	fixation	0.0	
21166877	598.0	blink	1.0	
21166842	699.0	saccade	0.0	
21167566	155.0	fixation	0.0	
21167723	35.0	saccade	0.0	
21167984				CS
21167765	381.0	fixation	0.0	
21168167	85.0	blink	1.0	
21168142	168.0	saccade	0.0	
21168327	102.0	fixation	0.0	
21168430	30.0	saccade	0.0	
21168459	159.0	fixation	0.0	
21168620	26.0	saccade	0.0	
21168648	578.0	fixation	0.0	
21169225	23.0	saccade	0.0	
21169252	507.0	fixation	0.0	
21169757	23.0	saccade	0.0	
21169779	326.0	fixation	0.0	
21170105	12.0	saccade	0.0	
21170123	364.0	fixation	0.0	
21170482	30.0	saccade	0.0	
21170513	249.0	fixation	0.0	
21170762	35.0	saccade	0.0	
21170797	550.0	fixation	0.0	
21171349	17.0	saccade	0.0	
21171377	793.0	fixation	0.0	
21172171	21.0	saccade	0.0	
21172191	414.0	fixation	0.0	
21172606	32.0	saccade	0.0	
21172639	327.0	fixation	0.0	
21172966	14.0	saccade	0.0	
21172982	559.0	fixation	0.0	
21173540	21.0	saccade	0.0	
21173561	203.0	fixation	0.0	
21173766	14.0	saccade	0.0	
21173783	190.0	fixation	0.0	
21173990	140.0	blink	1.0	
21173972	207.0	saccade	0.0	
21174186	1346.0	fixation	0.0	
21175532	8.0	saccade	0.0	
21175540	2371.0	fixation	0.0	
21176550	31.0	saccade	0.0	
21176588	138.0	fixation	0.0	
21176759	36.0	blink	1.0	
21176723	123.0	saccade	0.0	
21176877	632.0	fixation	0.0	
21177478	29.0	saccade	0.0	
21177507	202.0	fixation	0.0	
21177710	23.0	saccade	0.0	
21177737	380.0	fixation	0.0	
21178115	28.0	saccade	0.0	
21178145	386.0	fixation	0.0	
21178530	17.0	saccade	0.0	
21178551	76.0	fixation	0.0	
21178653	56.0	blink	1.0	
21178623	143.0	saccade	0.0	
21178777	368.0	fixation	0.0	
21179145	29.0	saccade	0.0	
21179175	164.0	fixation	0.0	
21179340	28.0	saccade	0.0	
21179369	665.0	fixation	0.0	
21180036	33.0	saccade	0.0	
21180068	214.0	fixation	0.0	
21180283	31.0	saccade	0.0	
21180314	591.0	fixation	0.0	
21180905	17.0	saccade	0.0	
21180924	900.0	fixation	0.0	
21181823	16.0	saccade	0.0	
21181844	1036.0	fixation	0.0	
21182882	31.0	saccade	0.0	
21182914	286.0	fixation	0.0	
21183201	25.0	saccade	0.0	
21183227	1457.0	fixation	0.0	
21184720	91.0	blink	1.0	
21184690	185.0	saccade	0.0	
21184888	3394.0	fixation	0.0	
21188309	113.0	blink	1.0	
21188285	211.0	saccade	0.0	
21188503	598.0	fixation	0.0	
21189102	19.0	saccade	0.0	
21189124	228.0	fixation	0.0	
21189350	29.0	saccade	0.0	
21189378	3027.0	fixation	0.0	
21192435	82.0	blink	1.0	
21192409	172.0	saccade	0.0	
21192589	273.0	fixation	0.0	
21192888	194.0	blink	1.0	
21192864	275.0	saccade	0.0	
21193154	749.0	fixation	0.0	
21193903	16.0	saccade	0.0	
21193919	1131.0	fixation	0.0	
21195051	35.0	saccade	0.0	
21195096	241.0	fixation	0.0	
21195339	31.0	saccade	0.0	
21195370	558.0	fixation	0.0	
21195929	34.0	saccade	0.0	
21195973	319.0	fixation	0.0	
21196320	110.0	blink	1.0	
21196295	216.0	saccade	0.0	
21196524	230.0	fixation	0.0	
21196770	95.0	blink	1.0	
21196739	182.0	saccade	0.0	
21196929	1113.0	fixation	0.0	
21198038	28.0	saccade	0.0	
21198067	225.0	fixation	0.0	
21198292	32.0	saccade	0.0	
21198324	421.0	fixation	0.0	
21198746	35.0	saccade	0.0	
21198780	209.0	fixation	0.0	
21198991	30.0	saccade	0.0	
21199021	300.0	fixation	0.0	
21199351	92.0	blink	1.0	
21199322	208.0	saccade	0.0	
21199537	416.0	fixation	0.0	
21199954	20.0	saccade	0.0	
21199975	511.0	fixation	0.0	
21200517	81.0	blink	1.0	
21200489	181.0	saccade	0.0	
21200673	273.0	fixation	0.0	
21200982				CS
21200980	96.0	blink	1.0	
21200953	211.0	saccade	0.0	
21201165	2487.0	fixation	0.0	
21203653	26.0	saccade	0.0	
21203681	151.0	fixation	0.0	
21203868	170.0	blink	1.0	
21203832	286.0	saccade	0.0	
21204119	775.0	fixation	0.0	
21204896	15.0	saccade	0.0	
21204909	346.0	fixation	0.0	
21205256	29.0	saccade	0.0	
21205286	778.0	fixation	0.0	
21206095	88.0	blink	1.0	
21206064	185.0	saccade	0.0	
21206267	455.0	fixation	0.0	
21206705	19.0	saccade	0.0	
21206724	513.0	fixation	0.0	
21207238	28.0	saccade	0.0	
21207268	462.0	fixation	0.0	
21207758	100.0	blink	1.0	
21207727	202.0	saccade	0.0	
21207938	1626.0	fixation	0.0	
21209614	325.0	blink	1.0	
21209573	456.0	saccade	0.0	
21210043	711.0	fixation	0.0	
21210732	23.0	saccade	0.0	
21210761	580.0	fixation	0.0	
21211364	147.0	blink	1.0	
21211343	228.0	saccade	0.0	
21211583	541.0	fixation	0.0	
21212140	575.0	blink	1.0	
21212114	702.0	saccade	0.0	
21212871	395.0	fixation	0.0	
21213266	45.0	saccade	0.0	
21213320	45.0	fixation	0.0	
21213356	7.0	saccade	0.0	
21213363	72.0	fixation	0.0	
21213432	124.0	blink	1.0	
21213398	252.0	saccade	0.0	
21213647	821.0	fixation	0.0	
21214493	108.0	blink	1.0	
21214468	203.0	saccade	0.0	
21214680	37.0	fixation	0.0	
21214717	12.0	saccade	0.0	
21214729	208.0	fixation	0.0	
21214990	106.0	blink	1.0	
21214948	239.0	saccade	0.0	
21215192	323.0	fixation	0.0	
21215515	31.0	saccade	0.0	
21215546	160.0	fixation	0.0	
21215706	28.0	saccade	0.0	
21215736	1714.0	fixation	0.0	
21217480	341.0	blink	1.0	
21217450	472.0	saccade	0.0	
21217922	1571.0	fixation	0.0	
21219493	29.0	saccade	0.0	
21219523	185.0	fixation	0.0	
21219708	32.0	saccade	0.0	
21219741	390.0	fixation	0.0	
21220131	22.0	saccade	0.0	
21220153	195.0	fixation	0.0	
21220350	34.0	saccade	0.0	
21220382	196.0	fixation	0.0	
21220608	440.0	blink	1.0	
21220578	566.0	saccade	0.0	
21221145	146.0	fixation	0.0	
21221292	45.0	saccade	0.0	
21221341	217.0	fixation	0.0	
21221558	42.0	saccade	0.0	
21221600	645.0	fixation	0.0	
21222247	21.0	saccade	0.0	
21222267	392.0	fixation	0.0	
21222661	9.0	saccade	0.0	
21222677	1540.0	fixation	0.0	
21224217	18.0	saccade	0.0	
21224236	542.0	fixation	0.0	
21224779	54.0	saccade	0.0	
21224835	143.0	fixation	0.0	
21224979	28.0	saccade	0.0	
21225008	825.0	fixation	0.0	
21225833	86.0	saccade	0.0	
21225927	119.0	fixation	0.0	
21226047	38.0	saccade	0.0	
21226085	271.0	fixation	0.0	
21226356	37.0	saccade	0.0	
21226421	470.0	fixation	0.0	
21226893	21.0	saccade	0.0	
21226914	188.0	fixation	0.0	
21227103	95.0	saccade	0.0	
21227202	199.0	fixation	0.0	
21227399	30.0	saccade	0.0	
21227440	68.0	fixation	0.0	
21227495	29.0	saccade	0.0	
21227524	198.0	fixation	0.0	
21227722	86.0	saccade	0.0	
21227817	139.0	fixation	0.0	
21227957	27.0	saccade	0.0	
21228014	914.0	fixation	0.0	
21228973	111.0	blink	1.0	
21228939	209.0	saccade	0.0	
21229180	321.0	fixation	0.0	
21229508	87.0	blink	1.0	
21229471	187.0	saccade	0.0	
21229674	214.0	fixation	0.0	
21229891	31.0	saccade	0.0	
21229920	272.0	fixation	0.0	
21230193	30.0	saccade	0.0	
21230231	659.0	fixation	0.0	
21230884	27.0	saccade	0.0	
21230912	349.0	fixation	0.0	
21231295	90.0	blink	1.0	
21231267	184.0	saccade	0.0	
21231480				CS
21231468	167.0	fixation	0.0	
21231619	32.0	saccade	0.0	
21231650	224.0	fixation	0.0	
21231874	34.0	saccade	0.0	
21231910	183.0	fixation	0.0	
21232091	16.0	saccade	0.0	
21232112	216.0	fixation	0.0	
21232324	40.0	saccade	0.0	
21232372	337.0	fixation	0.0	
21232700	22.0	saccade	0.0	
21232722	998.0	fixation	0.0	
21233720	17.0	saccade	0.0	
21233741	453.0	fixation	0.0	
21234191	25.0	saccade	0.0	
21234217	437.0	fixation	0.0	
21234654	21.0	saccade	0.0	
21234675	438.0	fixation	0.0	
21235113	21.0	saccade	0.0	
21235140	231.0	fixation	0.0	
21235366	21.0	saccade	0.0	
21235387	400.0	fixation	0.0	
21235814	117.0	blink	1.0	
21235791	187.0	saccade	0.0	
21235989	259.0	fixation	0.0	
21236248	6.0	saccade	0.0	
21236254	467.0	fixation	0.0	
21236723	11.0	saccade	0.0	
21236739	255.0	fixation	0.0	
21237028	222.0	blink	1.0	
21236989	326.0	saccade	0.0	
21237338	368.0	fixation	0.0	
21237707	38.0	saccade	0.0	
21237745	551.0	fixation	0.0	
21238297	12.0	saccade	0.0	
21238316	29.0	fixation	0.0	
21238345	9.0	saccade	0.0	
21238354	157.0	fixation	0.0	
21238466	33.0	saccade	0.0	
21238499	1747.0	fixation	0.0	
21240275	151.0	blink	1.0	
21240248	258.0	saccade	0.0	
21240505	379.0	fixation	0.0	
21240885	32.0	saccade	0.0	
21240918	190.0	fixation	0.0	
21241110	29.0	saccade	0.0	
21241139	569.0	fixation	0.0	
21241711	27.0	saccade	0.0	
21241739	269.0	fixation	0.0	
21242011	31.0	saccade	0.0	
21242044	211.0	fixation	0.0	
21242255	31.0	saccade	0.0	
21242286	712.0	fixation	0.0	
21243027	102.0	blink	1.0	
21242999	195.0	saccade	0.0	
21243217	321.0	fixation	0.0	
21243572	131.0	blink	1.0	
21243541	255.0	saccade	0.0	
21243796	396.0	fixation	0.0	
21244220	135.0	blink	1.0	
21244191	246.0	saccade	0.0	
21244444	412.0	fixation	0.0	
21244851	31.0	saccade	0.0	
21244883	426.0	fixation	0.0	
21245310	29.0	saccade	0.0	
21245340	307.0	fixation	0.0	
21245647	27.0	saccade	0.0	
21245676	357.0	fixation	0.0	
21246066	97.0	blink	1.0	
21246035	220.0	saccade	0.0	
21246253	209.0	fixation	0.0	
21246461	24.0	saccade	0.0	
21246489	426.0	fixation	0.0	
21246912	30.0	saccade	0.0	
21246943	420.0	fixation	0.0	
21247364	30.0	saccade	0.0	
21247394	241.0	fixation	0.0	
21247636	20.0	saccade	0.0	
21247661	640.0	fixation	0.0	
21248302	26.0	saccade	0.0	
21248329	768.0	fixation	0.0	
21249099	24.0	saccade	0.0	
21249123	452.0	fixation	0.0	
21249578	28.0	saccade	0.0	
21249607	398.0	fixation	0.0	
21250005	20.0	saccade	0.0	
21250030	376.0	fixation	0.0	
21250438	204.0	blink	1.0	
21250409	330.0	saccade	0.0	
21250742	445.0	fixation	0.0	
21251183	21.0	saccade	0.0	
21251209	159.0	fixation	0.0	
21251369	29.0	saccade	0.0	
21251398	1673.0	fixation	0.0	
21253073	34.0	saccade	0.0	
21253117	311.0	fixation	0.0	
21253418	34.0	saccade	0.0	
21253450	180.0	fixation	0.0	
21253631	32.0	saccade	0.0	
21253663	1779.0	fixation	0.0	
21255443	30.0	saccade	0.0	
21255475	63.0	fixation	0.0	
21255573	442.0	blink	1.0	
21255545	543.0	saccade	0.0	
21256100	656.0	fixation	0.0	
21256736	14.0	saccade	0.0	
21256751	594.0	fixation	0.0	
21257344	22.0	saccade	0.0	
21257370	765.0	fixation	0.0	
21258136	20.0	saccade	0.0	
21258158	200.0	fixation	0.0	
21258357	20.0	saccade	0.0	
21258376	496.0	fixation	0.0	
21258873	18.0	saccade	0.0	
21258897	535.0	fixation	0.0	
21259434	24.0	saccade	0.0	
21259466	185.0	fixation	0.0	
21259652	7.0	saccade	0.0	
21259659	1391.0	fixation	0.0	
21261052	18.0	saccade	0.0	
21261069	1027.0	fixation	0.0	
21262098	21.0	saccade	0.0	
21262479				CS
21262119	772.0	fixation	0.0	
21262928	108.0	blink	1.0	
21262893	218.0	saccade	0.0	
21263111	385.0	fixation	0.0	
21263499	28.0	saccade	0.0	
21263527	671.0	fixation	0.0	
21264200	19.0	saccade	0.0	
21264219	628.0	fixation	0.0	
21264848	24.0	saccade	0.0	
21264878	326.0	fixation	0.0	
21265199	31.0	saccade	0.0	
21265230	1046.0	fixation	0.0	
21266277	24.0	saccade	0.0	
21266302	363.0	fixation	0.0	
21266698	445.0	blink	1.0	
21266669	505.0	saccade	0.0	
21267192	169.0	fixation	0.0	
21267373	84.0	blink	1.0	
21267348	165.0	saccade	0.0	
21267520	35.0	fixation	0.0	
21267543	14.0	saccade	0.0	
21267557	123.0	fixation	0.0	
21267701	142.0	blink	1.0	
21267680	218.0	saccade	0.0	
21267911	190.0	fixation	0.0	
21268112	138.0	blink	1.0	
21268091	216.0	saccade	0.0	
21268307	33.0	fixation	0.0	
21268340	9.0	saccade	0.0	
21268349	223.0	fixation	0.0	
21268604	346.0	blink	1.0	
21268578	420.0	saccade	0.0	
21269009	353.0	fixation	0.0	
21269352	35.0	saccade	0.0	
21269389	225.0	fixation	0.0	
21269641	313.0	blink	1.0	
21269617	398.0	saccade	0.0	
21270014	389.0	fixation	0.0	
21270435	134.0	blink	1.0	
21270409	219.0	saccade	0.0	
21270645	206.0	fixation	0.0	
21270835	34.0	saccade	0.0	
21270876	505.0	fixation	0.0	
21271439	97.0	blink	1.0	
21271397	212.0	saccade	0.0	
21271609	177.0	fixation	0.0	
21271820	153.0	blink	1.0	
21271782	249.0	saccade	0.0	
21272033	65.0	fixation	0.0	
21272098	6.0	saccade	0.0	
21272104	579.0	fixation	0.0	
21272685	21.0	saccade	0.0	
21272712	216.0	fixation	0.0	
21272924	20.0	saccade	0.0	
21272944	399.0	fixation	0.0	
21273344	35.0	saccade	0.0	
21273380	263.0	fixation	0.0	
21273643	35.0	saccade	0.0	
21273679	258.0	fixation	0.0	
21273969	99.0	blink	1.0	
21273939	191.0	saccade	0.0	
21274135	609.0	fixation	0.0	
21274738	32.0	saccade	0.0	
21274769	590.0	fixation	0.0	
21275360	20.0	saccade	0.0	
21275388	354.0	fixation	0.0	
21275735	29.0	saccade	0.0	
21275765	368.0	fixation	0.0	
21276133	20.0	saccade	0.0	
21276159	216.0	fixation	0.0	
21276376	28.0	saccade	0.0	
21276411	1403.0	fixation	0.0	
21277850	101.0	blink	1.0	
21277818	192.0	saccade	0.0	
21278018	247.0	fixation	0.0	
21278258	28.0	saccade	0.0	
21278293	1116.0	fixation	0.0	
21279403	29.0	saccade	0.0	
21279433	153.0	fixation	0.0	
21279586	27.0	saccade	0.0	
21279614	592.0	fixation	0.0	
21280205	46.0	saccade	0.0	
21280251	53.0	fixation	0.0	
21280304	24.0	saccade	0.0	
21280336	56.0	fixation	0.0	
21280392	25.0	saccade	0.0	
21280418	117.0	fixation	0.0	
21280535	28.0	saccade	0.0	
21280563	136.0	fixation	0.0	
21280784	147.0	blink	1.0	
21280700	252.0	saccade	0.0	
21280951	374.0	fixation	0.0	
21281348	92.0	blink	1.0	
21281325	167.0	saccade	0.0	
21281500	200.0	fixation	0.0	
21281693	32.0	saccade	0.0	
21281727	732.0	fixation	0.0	
21282459	22.0	saccade	0.0	
21282483	223.0	fixation	0.0	
21282704	22.0	saccade	0.0	
21282730	353.0	fixation	0.0	
21283081	18.0	saccade	0.0	
21283102	719.0	fixation	0.0	
21283819	30.0	saccade	0.0	
21283850	339.0	fixation	0.0	
21284191	30.0	saccade	0.0	
21284221	175.0	fixation	0.0	
21284429	118.0	blink	1.0	
21284402	242.0	saccade	0.0	
21284644	383.0	fixation	0.0	
21285027	27.0	saccade	0.0	
21285066	414.0	fixation	0.0	
21285470	25.0	saccade	0.0	
21285495	590.0	fixation	0.0	
21286086	46.0	saccade	0.0	
21286133	176.0	fixation	0.0	
21286311	34.0	saccade	0.0	
21286354	137.0	fixation	0.0	
21286523	140.0	blink	1.0	
21286495	256.0	saccade	0.0	
21286757	497.0	fixation	0.0	
21287256	33.0	saccade	0.0	
21287288	261.0	fixation	0.0	
21287551	33.0	saccade	0.0	
21287594	601.0	fixation	0.0	
21288186	18.0	saccade	0.0	
21288209	304.0	fixation	0.0	
21288509	29.0	saccade	0.0	
21288538	679.0	fixation	0.0	
21289219	32.0	saccade	0.0	
21289251	296.0	fixation	0.0	
21289549	21.0	saccade	0.0	
21289571	2487.0	fixation	0.0	
21292084	187.0	blink	1.0	
21292059	313.0	saccade	0.0	
21292378	250.0	fixation	0.0	
21292623	30.0	saccade	0.0	
21294977				CS
21292654	3049.0	fixation	0.0	
21295741	111.0	blink	1.0	
21295707	277.0	saccade	0.0	
21295994	300.0	fixation	0.0	
21296327	412.0	blink	1.0	
21296299	461.0	saccade	0.0	
21296764	674.0	fixation	0.0	
21297439	31.0	saccade	0.0	
21297475	592.0	fixation	0.0	
21298094	114.0	blink	1.0	
21298071	194.0	saccade	0.0	
21298292	220.0	fixation	0.0	
21298541	386.0	blink	1.0	
21298516	454.0	saccade	0.0	
21298996	34.0	fixation	0.0	
21299004	5.0	saccade	0.0	
