onset	duration	event_type	stimulus_name	task_name
521.992	15.0	block_start	block_start	habituation
536.992	8.0	CS-	square	habituation
553.039	8.0	CS+	diamond	habituation
568.789	8.0	CS-	square	habituation
583.538	8.0	CS+	diamond	habituation
597.787	8.0	CS+	diamond	acquisition
605.287	0.5	US	shock	acquisition
615.034	8.0	CS-	square	acquisition
630.04	8.0	CS-	square	acquisition
646.289	8.0	CS+	diamond	acquisition
662.288	8.0	CS-	square	acquisition
679.288	8.0	CS+	diamond	acquisition
686.788	0.5	US	shock	acquisition
694.541	8.0	CS+	diamond	acquisition
702.041	0.5	US	shock	acquisition
709.29	8.0	CS-	square	acquisition
725.79	8.0	CS+	diamond	acquisition
733.29	0.5	US	shock	acquisition
742.539	8.0	CS+	diamond	acquisition
750.039	0.5	US	shock	acquisition
757.038	8.0	CS-	square	acquisition
772.538	8.0	CS+	diamond	acquisition
788.291	8.0	CS+	diamond	acquisition
795.791	0.5	US	shock	acquisition
804.29	8.0	CS-	square	acquisition
819.29	8.0	CS-	square	acquisition
833.539	8.0	CS-	square	acquisition
856.539	0.0	block_end	block_end	acquisition
