onset	duration	event_type	stimulus_name	task_name
17.594	15.0	block_start	block_start	habituation
32.594	8.0	CS+	diamond	habituation
49.093	8.0	CS-	square	habituation
64.343	8.0	CS+	diamond	habituation
79.842	8.0	CS-	square	habituation
96.091	8.0	CS-	square	acquisition
111.094	8.0	CS-	square	acquisition
128.094	8.0	CS+	diamond	acquisition
135.594	0.5	US	shock	acquisition
143.843	8.0	CS-	square	acquisition
159.093	8.0	CS+	diamond	acquisition
166.593	0.5	US	shock	acquisition
175.842	8.0	CS+	diamond	acquisition
190.345	8.0	CS-	square	acquisition
206.844	8.0	CS+	diamond	acquisition
214.344	0.5	US	shock	acquisition
221.094	8.0	CS-	square	acquisition
236.593	8.0	CS-	square	acquisition
253.84	8.0	CS+	diamond	acquisition
261.34000000000003	0.5	US	shock	acquisition
268.592	8.0	CS+	diamond	acquisition
276.092	0.5	US	shock	acquisition
284.595	8.0	CS-	square	acquisition
301.595	8.0	CS+	diamond	acquisition
309.095	0.5	US	shock	acquisition
317.094	8.0	CS-	square	acquisition
333.844	8.0	CS+	diamond	acquisition
356.844	0.0	block_end	block_end	acquisition
