onset	duration	event_type	blink	message
3960478				NO Reply is disabled for function eyelink_cal_result
3960527				RECCFG CR 1000 2 0 LR
3960527				ELCLCFG BTOWER
3960527				GAZE_COORDS 0.00 0.00 1920.00 1080.00
3960527				THRESHOLDS L 137 237 R 122 227
3960527				ELCL_WINDOW_SIZES 160 160 0 0
3960527				CAMERA_LENS_FOCAL_LENGTH 27.00
3960527				PUPIL_DATA_TYPE RAW_AUTOSLIP
3960527				ELCL_PROC ELLIPSE (5)
3960527				ELCL_EFIT_PARAMS 1.01 4.00 0.15 0.05 0.65 0.65 0.00 0.00 0.30
3960535	349.0	fixation	0.0	
3960884	52.0	saccade	0.0	
3960952	323.0	fixation	0.0	
3961275	65.0	saccade	0.0	
3961340	352.0	fixation	0.0	
3961693	13.0	saccade	0.0	
3961713	231.0	fixation	0.0	
3961945	17.0	saccade	0.0	
3961962	439.0	fixation	0.0	
3962400	18.0	saccade	0.0	
3962419	153.0	fixation	0.0	
3962572	49.0	saccade	0.0	
3962631	213.0	fixation	0.0	
3962844	67.0	saccade	0.0	
3962912	261.0	fixation	0.0	
3963205	143.0	blink	1.0	
3963181	196.0	saccade	0.0	
3963408	162.0	fixation	0.0	
3963540	32.0	saccade	0.0	
3963571	173.0	fixation	0.0	
3963744	57.0	saccade	0.0	
3963815	135.0	fixation	0.0	
3963951	19.0	saccade	0.0	
3963970	328.0	fixation	0.0	
3964298	66.0	saccade	0.0	
3964366	330.0	fixation	0.0	
3964696	18.0	saccade	0.0	
3964715	290.0	fixation	0.0	
3965006	20.0	saccade	0.0	
3965027	770.0	fixation	0.0	
3965796	36.0	saccade	0.0	
3965832	379.0	fixation	0.0	
3966211	30.0	saccade	0.0	
3966241	213.0	fixation	0.0	
3966455	112.0	saccade	0.0	
3966569	180.0	fixation	0.0	
3966749	8.0	saccade	0.0	
3966767	134.0	fixation	0.0	
3966902	66.0	saccade	0.0	
3966969	105.0	fixation	0.0	
3967107	140.0	blink	1.0	
3967081	192.0	saccade	0.0	
3967298	326.0	fixation	0.0	
3967599	28.0	saccade	0.0	
3967629	409.0	fixation	0.0	
3968038	100.0	saccade	0.0	
3968139	184.0	fixation	0.0	
3968322	90.0	saccade	0.0	
3968414	229.0	fixation	0.0	
3968642	23.0	saccade	0.0	
3968665	347.0	fixation	0.0	
3969012	22.0	saccade	0.0	
3969035	283.0	fixation	0.0	
3969317	70.0	saccade	0.0	
