onset	duration	event_type	stimulus_name	task_name
367.858	15.0	block_start	block_start	habituation
382.858	8.0	CS-	diamond	habituation
398.857	8.0	CS+	square	habituation
415.106	8.0	CS-	diamond	habituation
430.856	8.0	CS+	square	habituation
446.105	8.0	CS+	square	acquisition
453.605	0.5	US	shock	acquisition
462.858	8.0	CS-	diamond	acquisition
479.857	8.0	CS+	square	acquisition
487.357	0.5	US	shock	acquisition
494.857	8.0	CS-	diamond	acquisition
510.356	8.0	CS-	diamond	acquisition
527.603	8.0	CS+	square	acquisition
541.855	8.0	CS-	diamond	acquisition
558.358	8.0	CS+	square	acquisition
565.858	0.5	US	shock	acquisition
574.107	8.0	CS+	square	acquisition
581.607	0.5	US	shock	acquisition
588.857	8.0	CS-	diamond	acquisition
605.106	8.0	CS-	diamond	acquisition
619.606	8.0	CS+	square	acquisition
627.106	0.5	US	shock	acquisition
635.605	8.0	CS-	diamond	acquisition
651.358	8.0	CS+	square	acquisition
658.858	0.5	US	shock	acquisition
668.604	8.0	CS+	square	acquisition
685.357	8.0	CS-	diamond	acquisition
708.357	0.0	block_end	block_end	acquisition
