onset	duration	event_type	stimulus_name	task_name
141.32350000000002	15.0	block_start	block_start	extinction
156.32350000000002	8.0	CS-	diamond	extinction
171.82249999999993	8.0	CS-	diamond	extinction
187.07249999999996	8.0	CS+	square	extinction
202.8215	8.0	CS-	diamond	extinction
217.3215	8.0	CS-	diamond	extinction
232.0735	8.0	CS+	square	extinction
248.5735	8.0	CS+	square	extinction
262.82249999999993	8.0	CS-	diamond	extinction
279.5715	8.0	CS+	square	extinction
296.5715	8.0	CS+	square	extinction
311.5705	8.0	CS-	diamond	extinction
327.8235	8.0	CS+	square	extinction
345.0695	8.0	CS-	diamond	extinction
360.32249999999993	8.0	CS+	square	extinction
374.8215	8.0	CS+	square	extinction
389.5715	8.0	CS-	diamond	extinction
405.0705	8.0	CS+	square	extinction
419.3235	8.0	CS-	diamond	extinction
435.07249999999993	8.0	CS+	square	extinction
452.07249999999993	8.0	CS-	diamond	extinction
468.8215	8.0	CS+	square	extinction
483.8205	8.0	CS-	diamond	extinction
500.0735	8.0	CS-	diamond	extinction
516.0735	8.0	CS+	square	extinction
533.3195000000001	8.0	CS+	square	extinction
549.8215	8.0	CS-	diamond	extinction
567.0685000000001	8.0	CS-	diamond	extinction
582.3205	8.0	CS+	square	extinction
598.8235	8.0	CS-	diamond	extinction
615.5725	8.0	CS+	square	extinction
629.8225	8.0	CS-	diamond	extinction
646.8215	8.0	CS+	square	extinction
663.0704999999998	8.0	CS-	diamond	extinction
678.0735	8.0	CS+	square	extinction
692.5735	8.0	CS+	square	extinction
707.3225	8.0	CS-	diamond	extinction
723.3225	8.0	CS-	diamond	extinction
738.8215	8.0	CS+	square	extinction
754.5704999999998	8.0	CS-	diamond	extinction
769.8235	8.0	CS+	square	extinction
792.8235	0.0	block_end	block_end	extinction
