onset	duration	event_type	blink	message
22012034				NO Reply is disabled for function eyelink_cal_result
22012098				RECCFG CR 1000 2 0 LR
22012098				ELCLCFG BTOWER
22012098				GAZE_COORDS 0.00 0.00 1920.00 1080.00
22012098				THRESHOLDS L 146 237 R 136 243
22012098				ELCL_WINDOW_SIZES 160 160 0 0
22012098				CAMERA_LENS_FOCAL_LENGTH 27.00
22012098				PUPIL_DATA_TYPE RAW_AUTOSLIP
22012098				ELCL_PROC ELLIPSE (5)
22012098				ELCL_EFIT_PARAMS 1.01 4.00 0.15 0.05 0.65 0.65 0.00 0.00 0.30
22012100	210.0	blink	1.0	
22012100	286.0	saccade	0.0	
22012387	441.0	fixation	0.0	
22012829	52.0	saccade	0.0	
22012882	295.0	fixation	0.0	
22013176	17.0	saccade	0.0	
22013195	923.0	fixation	0.0	
22014117	12.0	saccade	0.0	
22014133	4372.0	fixation	0.0	
22018507	32.0	saccade	0.0	
22018537	617.0	fixation	0.0	
22019194	13.0	blink	1.0	
22019160	85.0	saccade	0.0	
22019253	411.0	fixation	0.0	
22019698	69.0	blink	1.0	
22019666	154.0	saccade	0.0	
22019859	1104.0	fixation	0.0	
22020925	29.0	saccade	0.0	
22020953	266.0	fixation	0.0	
22021220	24.0	saccade	0.0	
22021247	1471.0	fixation	0.0	
22022718	17.0	saccade	0.0	
22022741	3842.0	fixation	0.0	
22026680	190.0	blink	1.0	
22026584	401.0	saccade	0.0	
22027012	373.0	fixation	0.0	
22027387	18.0	saccade	0.0	
22027404	494.0	fixation	0.0	
22027899	20.0	saccade	0.0	
22027922	852.0	fixation	0.0	
22028774	30.0	saccade	0.0	
22028804	249.0	fixation	0.0	
22029054	28.0	saccade	0.0	
22029082	290.0	fixation	0.0	
22029373	26.0	saccade	0.0	
22029401	232.0	fixation	0.0	
22029633	30.0	saccade	0.0	
22029662	236.0	fixation	0.0	
22029900	29.0	saccade	0.0	
22029930	323.0	fixation	0.0	
22030294	105.0	blink	1.0	
22030261	208.0	saccade	0.0	
22030515	212.0	fixation	0.0	
22030683	31.0	saccade	0.0	
22030712	763.0	fixation	0.0	
22031476	29.0	saccade	0.0	
22031506	307.0	fixation	0.0	
22031813	46.0	saccade	0.0	
22031860	140.0	fixation	0.0	
22032001	18.0	saccade	0.0	
22033107				CS
22032024	2328.0	fixation	0.0	
22034352	27.0	saccade	0.0	
22034380	541.0	fixation	0.0	
22034922	33.0	saccade	0.0	
22034954	78.0	fixation	0.0	
22035077	143.0	blink	1.0	
22035043	230.0	saccade	0.0	
22035311	27.0	fixation	0.0	
22035369	118.0	blink	1.0	
22035346	184.0	saccade	0.0	
22035568	57.0	fixation	0.0	
22035587	6.0	saccade	0.0	
22035593	347.0	fixation	0.0	
22035942	28.0	saccade	0.0	
22035971	1287.0	fixation	0.0	
22037259	33.0	saccade	0.0	
22037291	640.0	fixation	0.0	
22037931	25.0	saccade	0.0	
22037957	277.0	fixation	0.0	
22038235	43.0	saccade	0.0	
22038278	478.0	fixation	0.0	
22038756	32.0	saccade	0.0	
22038789	1919.0	fixation	0.0	
22040755	9.0	blink	1.0	
22040718	90.0	saccade	0.0	
22040840	177.0	fixation	0.0	
22041018	82.0	blink	1.0	
22040985	196.0	saccade	0.0	
22041210	352.0	fixation	0.0	
22041604	158.0	blink	1.0	
22041572	278.0	saccade	0.0	
22041900	1071.0	fixation	0.0	
22042922	28.0	saccade	0.0	
22042949	300.0	fixation	0.0	
22043251	30.0	saccade	0.0	
22043280	354.0	fixation	0.0	
22043635	31.0	saccade	0.0	
22043665	189.0	fixation	0.0	
22043855	77.0	saccade	0.0	
22043940	170.0	fixation	0.0	
22044103	93.0	saccade	0.0	
22044197	233.0	fixation	0.0	
22044430	85.0	saccade	0.0	
22044514	164.0	fixation	0.0	
22044678	88.0	saccade	0.0	
22044766	263.0	fixation	0.0	
22045029	33.0	saccade	0.0	
22045070	349.0	fixation	0.0	
22045412	32.0	saccade	0.0	
22045445	402.0	fixation	0.0	
22045847	35.0	saccade	0.0	
22045883	125.0	fixation	0.0	
22046046	75.0	blink	1.0	
22046014	164.0	saccade	0.0	
22046211	253.0	fixation	0.0	
22046465	31.0	saccade	0.0	
22046497	416.0	fixation	0.0	
22046950	307.0	blink	1.0	
22046920	409.0	saccade	0.0	
22047359	319.0	fixation	0.0	
22047737	312.0	blink	1.0	
22047696	403.0	saccade	0.0	
22048157	342.0	fixation	0.0	
22048441	45.0	saccade	0.0	
22048486	162.0	fixation	0.0	
22048650	34.0	saccade	0.0	
22048691	157.0	fixation	0.0	
22048897	383.0	blink	1.0	
22048852	501.0	saccade	0.0	
22049355	220.0	fixation	0.0	
22049575	36.0	saccade	0.0	
22049611	182.0	fixation	0.0	
22049838	205.0	blink	1.0	
22049801	359.0	saccade	0.0	
22050164	34.0	fixation	0.0	
22050201	36.0	saccade	0.0	
22050236	66.0	fixation	0.0	
22050373	133.0	blink	1.0	
22050330	236.0	saccade	0.0	
22050582	185.0	fixation	0.0	
22050810	374.0	blink	1.0	
22050773	507.0	saccade	0.0	
22051288	466.0	fixation	0.0	
22051748	36.0	saccade	0.0	
22051783	262.0	fixation	0.0	
22052124	132.0	blink	1.0	
22052047	271.0	saccade	0.0	
22052339	257.0	fixation	0.0	
22052576	34.0	saccade	0.0	
22052620	203.0	fixation	0.0	
22052815	32.0	saccade	0.0	
22052847	175.0	fixation	0.0	
22053022	32.0	saccade	0.0	
22053055	200.0	fixation	0.0	
22053282	118.0	blink	1.0	
22053256	199.0	saccade	0.0	
22053474	166.0	fixation	0.0	
22053642	31.0	saccade	0.0	
22053673	179.0	fixation	0.0	
22053853	33.0	saccade	0.0	
22053885	570.0	fixation	0.0	
22054455	30.0	saccade	0.0	
22054487	133.0	fixation	0.0	
22054621	31.0	saccade	0.0	
22054652	380.0	fixation	0.0	
22055033	28.0	saccade	0.0	
22055062	1201.0	fixation	0.0	
22056262	21.0	saccade	0.0	
22056287	613.0	fixation	0.0	
22056896	16.0	saccade	0.0	
22056917	220.0	fixation	0.0	
22057171	384.0	blink	1.0	
22057137	428.0	saccade	0.0	
22057583	417.0	fixation	0.0	
22057982	33.0	saccade	0.0	
22058016	3806.0	fixation	0.0	
22061881	146.0	blink	1.0	
22061831	276.0	saccade	0.0	
22062120	173.0	fixation	0.0	
22062294	23.0	saccade	0.0	
22062322	3384.0	fixation	0.0	
22065705	24.0	saccade	0.0	
22065725	103.0	fixation	0.0	
22065837	106.0	saccade	0.0	
22067105				CS
22065947	1758.0	fixation	0.0	
22067701	30.0	saccade	0.0	
22067732	62.0	fixation	0.0	
22067831	519.0	blink	1.0	
22067798	619.0	saccade	0.0	
22068417	41.0	fixation	0.0	
22068458	688.0	saccade	0.0	
22068592	242.0	fixation	0.0	
22068725	30.0	saccade	0.0	
22068765	388.0	fixation	0.0	
22069153	32.0	saccade	0.0	
22069185	262.0	fixation	0.0	
22069449	32.0	saccade	0.0	
22069480	290.0	fixation	0.0	
22069771	16.0	saccade	0.0	
22069789	323.0	fixation	0.0	
22070111	29.0	saccade	0.0	
22070140	157.0	fixation	0.0	
22070298	24.0	saccade	0.0	
22070321	153.0	fixation	0.0	
22070475	18.0	saccade	0.0	
22070493	299.0	fixation	0.0	
22070793	36.0	saccade	0.0	
22070829	238.0	fixation	0.0	
22071069	31.0	saccade	0.0	
22071099	445.0	fixation	0.0	
22071544	32.0	saccade	0.0	
22071576	763.0	fixation	0.0	
22072340	28.0	saccade	0.0	
22072368	413.0	fixation	0.0	
22072784	10.0	saccade	0.0	
22072793	606.0	fixation	0.0	
22073399	29.0	saccade	0.0	
22073429	240.0	fixation	0.0	
22073710	229.0	blink	1.0	
