onset	duration	event_type	stimulus_name	task_name
110.58350000000009	15.0	block_start	block_start	extinction
125.58350000000009	8.0	CS+	square	extinction
141.0825000000001	8.0	CS+	square	extinction
156.0825000000001	8.0	CS-	diamond	extinction
170.5815	8.0	CS+	square	extinction
186.5815	8.0	CS-	diamond	extinction
203.58050000000003	8.0	CS-	diamond	extinction
219.83350000000007	8.0	CS+	square	extinction
234.0825000000001	8.0	CS+	square	extinction
251.32850000000008	8.0	CS-	diamond	extinction
266.5815	8.0	CS+	square	extinction
282.33050000000003	8.0	CS-	diamond	extinction
299.0835000000001	8.0	CS-	diamond	extinction
315.5835000000001	8.0	CS+	square	extinction
330.3325000000001	8.0	CS-	diamond	extinction
346.8315000000001	8.0	CS-	diamond	extinction
362.8315000000001	8.0	CS+	square	extinction
378.0845000000001	8.0	CS+	square	extinction
393.0835000000001	8.0	CS-	diamond	extinction
407.3335000000001	8.0	CS-	diamond	extinction
424.0825000000001	8.0	CS+	square	extinction
440.3315000000001	8.0	CS+	square	extinction
456.0815000000001	8.0	CS-	diamond	extinction
473.0815000000001	8.0	CS+	square	extinction
487.5835000000001	8.0	CS-	diamond	extinction
503.0825000000001	8.0	CS+	square	extinction
520.3294999999999	8.0	CS-	diamond	extinction
536.3315000000001	8.0	CS-	diamond	extinction
550.8315000000001	8.0	CS+	square	extinction
565.8345	8.0	CS+	square	extinction
581.5835000000001	8.0	CS-	diamond	extinction
598.0825000000001	8.0	CS+	square	extinction
612.8325000000001	8.0	CS-	diamond	extinction
629.0815000000001	8.0	CS+	square	extinction
646.3285	8.0	CS-	diamond	extinction
663.0835000000001	8.0	CS+	square	extinction
680.0835000000001	8.0	CS-	diamond	extinction
695.5825000000001	8.0	CS+	square	extinction
710.8325000000001	8.0	CS+	square	extinction
725.0815000000001	8.0	CS-	diamond	extinction
739.3315000000001	8.0	CS-	diamond	extinction
762.3315000000001	0.0	block_end	block_end	extinction
