onset	duration	event_type	blink	message
4009025				NO Reply is disabled for function eyelink_cal_result
4009075				RECCFG CR 1000 2 0 LR
4009075				ELCLCFG BTOWER
4009075				GAZE_COORDS 0.00 0.00 1920.00 1080.00
4009075				THRESHOLDS L 137 237 R 127 243
4009075				ELCL_WINDOW_SIZES 160 160 0 0
4009075				CAMERA_LENS_FOCAL_LENGTH 27.00
4009075				PUPIL_DATA_TYPE RAW_AUTOSLIP
4009075				ELCL_PROC ELLIPSE (5)
4009075				ELCL_EFIT_PARAMS 1.01 4.00 0.15 0.05 0.65 0.65 0.00 0.00 0.30
4009083	256.0	fixation	0.0	
4009339	39.0	saccade	0.0	
4009379	437.0	fixation	0.0	
4009815	30.0	saccade	0.0	
4009845	197.0	fixation	0.0	
4010044	25.0	saccade	0.0	
4010067	403.0	fixation	0.0	
4010472	20.0	saccade	0.0	
4010490	334.0	fixation	0.0	
4010826	16.0	saccade	0.0	
4010844	177.0	fixation	0.0	
4011022	46.0	saccade	0.0	
4011076	191.0	fixation	0.0	
4011261	50.0	saccade	0.0	
4011311	306.0	fixation	0.0	
4011619	37.0	saccade	0.0	
4011654	323.0	fixation	0.0	
4011977	24.0	saccade	0.0	
4012003	397.0	fixation	0.0	
4012400	13.0	saccade	0.0	
4012414	327.0	fixation	0.0	
4012740	23.0	saccade	0.0	
4012773	412.0	fixation	0.0	
4013185	24.0	saccade	0.0	
4013210	370.0	fixation	0.0	
4013579	9.0	saccade	0.0	
4013588	286.0	fixation	0.0	
4013874	27.0	saccade	0.0	
4013901	285.0	fixation	0.0	
4014188	24.0	saccade	0.0	
4014215	325.0	fixation	0.0	
4014540	17.0	saccade	0.0	
4014559	351.0	fixation	0.0	
4014908	35.0	saccade	0.0	
4014945	271.0	fixation	0.0	
4015218	29.0	saccade	0.0	
4015248	225.0	fixation	0.0	
4015474	10.0	saccade	0.0	
4015491	287.0	fixation	0.0	
4015771	36.0	saccade	0.0	
4015807	265.0	fixation	0.0	
4016072	19.0	saccade	0.0	
4016093	223.0	fixation	0.0	
4016316	18.0	saccade	0.0	
4016334	420.0	fixation	0.0	
4016755	26.0	saccade	0.0	
4016781	318.0	fixation	0.0	
4017099	27.0	saccade	0.0	
4017128	454.0	fixation	0.0	
4017583	23.0	saccade	0.0	
4017606	275.0	fixation	0.0	
4017883	10.0	saccade	0.0	
4017892	377.0	fixation	0.0	
4018270	26.0	saccade	0.0	
4018296	360.0	fixation	0.0	
4018657	19.0	saccade	0.0	
4018676	8008.0	fixation	0.0	
4026684	12.0	saccade	0.0	
4026697	271.0	fixation	0.0	
4026968	18.0	saccade	0.0	
4035105				CS
4026987	11886.0	fixation	0.0	
4038873	8.0	saccade	0.0	
4038888	1185.0	fixation	0.0	
4040074	6.0	saccade	0.0	
4040080	415.0	fixation	0.0	
4040497	16.0	saccade	0.0	
4040518	506.0	fixation	0.0	
4041024	19.0	saccade	0.0	
4041044	510.0	fixation	0.0	
4041555	22.0	saccade	0.0	
4041578	3188.0	fixation	0.0	
4044766	14.0	saccade	0.0	
4044780	4270.0	fixation	0.0	
4049051	10.0	saccade	0.0	
4049063	295.0	fixation	0.0	
4049361	12.0	saccade	0.0	
4049368	4738.0	fixation	0.0	
4054107	16.0	saccade	0.0	
4054129	92.0	fixation	0.0	
4054214	10.0	saccade	0.0	
4054224	390.0	fixation	0.0	
4054520	13.0	saccade	0.0	
4054534	1464.0	fixation	0.0	
4055998	33.0	saccade	0.0	
4056032	223.0	fixation	0.0	
4056255	15.0	saccade	0.0	
4056271	376.0	fixation	0.0	
4056647	13.0	saccade	0.0	
4056663	2580.0	fixation	0.0	
4059242	15.0	saccade	0.0	
4059259	199.0	fixation	0.0	
4059458	12.0	saccade	0.0	
4059472	276.0	fixation	0.0	
4059749	16.0	saccade	0.0	
4059766	288.0	fixation	0.0	
4060056	14.0	saccade	0.0	
4060072	110.0	fixation	0.0	
4060184	126.0	saccade	0.0	
4060309	145.0	fixation	0.0	
4060453	44.0	saccade	0.0	
4060497	154.0	fixation	0.0	
4060652	73.0	saccade	0.0	
4060725	171.0	fixation	0.0	
4060896	36.0	saccade	0.0	
4060934	162.0	fixation	0.0	
4061097	22.0	saccade	0.0	
4061120	519.0	fixation	0.0	
4061641	19.0	saccade	0.0	
4061658	312.0	fixation	0.0	
4061970	17.0	saccade	0.0	
