onset	duration	event_type	blink	message
4918011	295.0	fixation	0.0	
4918305	62.0	saccade	0.0	
4918368	280.0	fixation	0.0	
4918648	15.0	saccade	0.0	
4918664	278.0	fixation	0.0	
4918943	76.0	saccade	0.0	
4919029	217.0	fixation	0.0	
4919274	91.0	blink	1.0	
4919245	167.0	saccade	0.0	
4919428	240.0	fixation	0.0	
4919652	100.0	saccade	0.0	
4919764	286.0	fixation	0.0	
4920038	34.0	saccade	0.0	
4920072	2853.0	fixation	0.0	
4922965	236.0	blink	1.0	
4922932	314.0	saccade	0.0	
4923251	875.0	fixation	0.0	
4924121	78.0	saccade	0.0	
4924207	222.0	fixation	0.0	
4924430	105.0	saccade	0.0	
4924534	182.0	fixation	0.0	
4924717	27.0	saccade	0.0	
4924757	119.0	fixation	0.0	
4924876	57.0	saccade	0.0	
4924933	44.0	fixation	0.0	
4925005	155.0	blink	1.0	
4924993	218.0	saccade	0.0	
4925209	244.0	fixation	0.0	
4925439	46.0	saccade	0.0	
4925486	2456.0	fixation	0.0	
4927942	14.0	saccade	0.0	
4927960	7824.0	fixation	0.0	
4935828	204.0	blink	1.0	
4935780	276.0	saccade	0.0	
4936077	112.0	fixation	0.0	
4936213	70.0	saccade	0.0	
4936251	428.0	fixation	0.0	
4936679	14.0	saccade	0.0	
4936694	209.0	fixation	0.0	
4936906	16.0	saccade	0.0	
4936925	298.0	fixation	0.0	
4937231	12.0	saccade	0.0	
4937237	22.0	fixation	0.0	
4937300	203.0	blink	1.0	
4937276	264.0	saccade	0.0	
4937549	166.0	fixation	0.0	
4937706	21.0	saccade	0.0	
4937876				CS
4937728	590.0	fixation	0.0	
4938319	12.0	saccade	0.0	
4938329	210.0	fixation	0.0	
4938541	16.0	saccade	0.0	
4938558	310.0	fixation	0.0	
4938869	7.0	saccade	0.0	
4938883	528.0	fixation	0.0	
4939405	24.0	saccade	0.0	
4939428	772.0	fixation	0.0	
4940237	123.0	blink	1.0	
4940210	200.0	saccade	0.0	
4940412	1247.0	fixation	0.0	
4941661	26.0	saccade	0.0	
4941687	260.0	fixation	0.0	
4941947	23.0	saccade	0.0	
4941971	523.0	fixation	0.0	
4942494	17.0	saccade	0.0	
4942511	191.0	fixation	0.0	
4942702	9.0	saccade	0.0	
4942712	245.0	fixation	0.0	
4942958	22.0	saccade	0.0	
4942980	472.0	fixation	0.0	
4943452	20.0	saccade	0.0	
4943473	242.0	fixation	0.0	
4943716	9.0	saccade	0.0	
4943725	487.0	fixation	0.0	
4944212	23.0	saccade	0.0	
4944236	1080.0	fixation	0.0	
4945318	30.0	saccade	0.0	
4945348	247.0	fixation	0.0	
4945595	17.0	saccade	0.0	
4945612	226.0	fixation	0.0	
4945839	18.0	saccade	0.0	
4945857	550.0	fixation	0.0	
4946407	19.0	saccade	0.0	
4946427	387.0	fixation	0.0	
4946815	19.0	saccade	0.0	
4946833	840.0	fixation	0.0	
4947713	137.0	blink	1.0	
4947677	225.0	saccade	0.0	
4947916	326.0	fixation	0.0	
4948243	16.0	saccade	0.0	
4948259	216.0	fixation	0.0	
4948474	105.0	saccade	0.0	
4948581	119.0	fixation	0.0	
4948701	24.0	saccade	0.0	
4948725	385.0	fixation	0.0	
4949110	20.0	saccade	0.0	
4949131	283.0	fixation	0.0	
4949414	53.0	saccade	0.0	
4949468	220.0	fixation	0.0	
4949689	49.0	saccade	0.0	
4949737	140.0	fixation	0.0	
4949878	12.0	saccade	0.0	
4949891	138.0	fixation	0.0	
4950059	337.0	blink	1.0	
4950034	376.0	saccade	0.0	
4950405	55.0	fixation	0.0	
4950509	482.0	blink	1.0	
4950460	515.0	saccade	0.0	
4950557	169.0	fixation	0.0	
4950726	22.0	saccade	0.0	
4950749	122.0	fixation	0.0	
4950871	45.0	saccade	0.0	
4950916	53.0	blink	1.0	
4950978	129.0	fixation	0.0	
