onset	duration	event_type	blink	message
8442373				NO Reply is disabled for function eyelink_cal_result
8442427				RECCFG CR 1000 2 0 LR
8442427				ELCLCFG BTOWER
8442427				GAZE_COORDS 0.00 0.00 1920.00 1080.00
8442427				THRESHOLDS L 148 237 R 127 243
8442427				ELCL_WINDOW_SIZES 160 160 0 0
8442427				CAMERA_LENS_FOCAL_LENGTH 27.00
8442427				PUPIL_DATA_TYPE RAW_AUTOSLIP
8442427				ELCL_PROC ELLIPSE (5)
8442427				ELCL_EFIT_PARAMS 1.01 4.00 0.15 0.05 0.65 0.65 0.00 0.00 0.30
8442435	1085.0	fixation	0.0	
8443521	21.0	saccade	0.0	
8443541	861.0	fixation	0.0	
8444402	16.0	saccade	0.0	
8444420	394.0	fixation	0.0	
8444815	9.0	saccade	0.0	
8444829	259.0	fixation	0.0	
8445088	13.0	saccade	0.0	
8445105	217.0	fixation	0.0	
8445322	7.0	saccade	0.0	
8445329	642.0	fixation	0.0	
8445745	10.0	saccade	0.0	
8445753	601.0	fixation	0.0	
8446354	7.0	saccade	0.0	
8446362	476.0	fixation	0.0	
8446838	7.0	saccade	0.0	
8446846	278.0	fixation	0.0	
8447125	9.0	saccade	0.0	
8447133	287.0	fixation	0.0	
8447421	17.0	saccade	0.0	
8447439	286.0	fixation	0.0	
8447725	81.0	saccade	0.0	
8447806	129.0	fixation	0.0	
8447936	71.0	saccade	0.0	
8448006	186.0	fixation	0.0	
8448193	18.0	saccade	0.0	
8448212	230.0	fixation	0.0	
8448442	8.0	saccade	0.0	
8448452	322.0	fixation	0.0	
8448774	8.0	saccade	0.0	
8448782	184.0	fixation	0.0	
8448967	12.0	saccade	0.0	
8448981	273.0	fixation	0.0	
8449253	12.0	saccade	0.0	
8449269	2957.0	fixation	0.0	
8452227	6.0	saccade	0.0	
8452234	1046.0	fixation	0.0	
8453281	15.0	saccade	0.0	
8453296	290.0	fixation	0.0	
8453586	13.0	saccade	0.0	
8453600	649.0	fixation	0.0	
8454250	10.0	saccade	0.0	
8454260	241.0	fixation	0.0	
8454501	9.0	saccade	0.0	
8454510	320.0	fixation	0.0	
8454831	9.0	saccade	0.0	
8454840	259.0	fixation	0.0	
8455099	12.0	saccade	0.0	
8455111	692.0	fixation	0.0	
8455803	6.0	saccade	0.0	
8455809	266.0	fixation	0.0	
8456075	7.0	saccade	0.0	
8456085	221.0	fixation	0.0	
8456306	9.0	saccade	0.0	
8456318	287.0	fixation	0.0	
8456603	18.0	saccade	0.0	
8456620	183.0	fixation	0.0	
8456804	18.0	saccade	0.0	
8456822	322.0	fixation	0.0	
8457143	19.0	saccade	0.0	
8457163	1262.0	fixation	0.0	
8458425	7.0	saccade	0.0	
8458432	1096.0	fixation	0.0	
8459530	20.0	saccade	0.0	
8459551	547.0	fixation	0.0	
8460100	13.0	saccade	0.0	
8460111	891.0	fixation	0.0	
8461005	9.0	saccade	0.0	
8461013	301.0	fixation	0.0	
8461315	23.0	saccade	0.0	
8461337	397.0	fixation	0.0	
8461734	8.0	saccade	0.0	
8461743	394.0	fixation	0.0	
8462137	17.0	saccade	0.0	
8462155	409.0	fixation	0.0	
8462565	19.0	saccade	0.0	
8462584	360.0	fixation	0.0	
8462944	23.0	saccade	0.0	
8462968	325.0	fixation	0.0	
8463293	12.0	saccade	0.0	
8463429				CS
8463305	481.0	fixation	0.0	
8463786	22.0	saccade	0.0	
8463812	667.0	fixation	0.0	
8464475	19.0	saccade	0.0	
8464495	484.0	fixation	0.0	
8464979	16.0	saccade	0.0	
8464994	263.0	fixation	0.0	
8465259	21.0	saccade	0.0	
8465281	195.0	fixation	0.0	
8465477	17.0	saccade	0.0	
8465493	488.0	fixation	0.0	
8465981	20.0	saccade	0.0	
8466003	265.0	fixation	0.0	
8466268	23.0	saccade	0.0	
8466291	165.0	fixation	0.0	
8466456	29.0	saccade	0.0	
8466488	228.0	fixation	0.0	
8466717	35.0	saccade	0.0	
8466752	196.0	fixation	0.0	
8466947	25.0	saccade	0.0	
8466980	292.0	fixation	0.0	
8467273	24.0	saccade	0.0	
8467297	410.0	fixation	0.0	
8467707	23.0	saccade	0.0	
8467730	339.0	fixation	0.0	
8468070	17.0	saccade	0.0	
8468086	451.0	fixation	0.0	
8468536	14.0	saccade	0.0	
8468555	626.0	fixation	0.0	
8469181	17.0	saccade	0.0	
8469198	2567.0	fixation	0.0	
8471765	22.0	saccade	0.0	
8471787	1356.0	fixation	0.0	
8473144	12.0	saccade	0.0	
8473156	320.0	fixation	0.0	
8473517	154.0	blink	1.0	
8473484	231.0	saccade	0.0	
8473727	1265.0	fixation	0.0	
8474993	9.0	saccade	0.0	
8475004	288.0	fixation	0.0	
8475291	7.0	saccade	0.0	
8475299	578.0	fixation	0.0	
8475877	6.0	saccade	0.0	
8475883	898.0	fixation	0.0	
8476812	104.0	blink	1.0	
8476789	164.0	saccade	0.0	
8476976	1596.0	fixation	0.0	
8478608	153.0	blink	1.0	
8478582	226.0	saccade	0.0	
8478841	25.0	fixation	0.0	
8478866	6.0	saccade	0.0	
8495927				CS
8478872	17620.0	fixation	0.0	
8496569	57.0	blink	1.0	
8496494	186.0	saccade	0.0	
8496696	20553.0	fixation	0.0	
8517303	120.0	blink	1.0	
8517274	208.0	saccade	0.0	
8517488	1224.0	fixation	0.0	
8518713	18.0	saccade	0.0	
8518732	602.0	fixation	0.0	
8519335	12.0	saccade	0.0	
8519347	543.0	fixation	0.0	
8519891	13.0	saccade	0.0	
8519906	124.0	fixation	0.0	
8520075	14.0	blink	1.0	
8520032	116.0	saccade	0.0	
8520151	261.0	fixation	0.0	
8520412	18.0	saccade	0.0	
8520431	190.0	fixation	0.0	
8520658	132.0	blink	1.0	
8520623	226.0	saccade	0.0	
8520850	56.0	fixation	0.0	
8520906	15.0	saccade	0.0	
8520922	137.0	fixation	0.0	
8521060	13.0	saccade	0.0	
8521075	184.0	fixation	0.0	
8521260	24.0	saccade	0.0	
8521283	149.0	fixation	0.0	
8521433	18.0	saccade	0.0	
8521454	164.0	fixation	0.0	
8521615	10.0	saccade	0.0	
8521624	141.0	fixation	0.0	
8521796	85.0	blink	1.0	
8521766	169.0	saccade	0.0	
8521934	316.0	fixation	0.0	
8522250	21.0	saccade	0.0	
8522276	254.0	fixation	0.0	
8522532	8.0	saccade	0.0	
8522541	382.0	fixation	0.0	
8522920	8.0	saccade	0.0	
8522928	439.0	fixation	0.0	
8523397	162.0	blink	1.0	
8523370	239.0	saccade	0.0	
8523611	1008.0	fixation	0.0	
8524615	20.0	saccade	0.0	
8524635	234.0	fixation	0.0	
8524870	10.0	saccade	0.0	
8524881	354.0	fixation	0.0	
8525234	15.0	saccade	0.0	
8525250	269.0	fixation	0.0	
8525519	13.0	saccade	0.0	
8525533	180.0	fixation	0.0	
8525712	19.0	saccade	0.0	
8525731	161.0	fixation	0.0	
8525892	42.0	saccade	0.0	
8525936	168.0	fixation	0.0	
8526105	36.0	saccade	0.0	
8526141	146.0	fixation	0.0	
8526318	128.0	blink	1.0	
8526292	194.0	saccade	0.0	
8526493	199.0	fixation	0.0	
8526693	26.0	saccade	0.0	
8526719	290.0	fixation	0.0	
8527008	6.0	saccade	0.0	
8527017	172.0	fixation	0.0	
8527190	45.0	saccade	0.0	
8527234	57.0	fixation	0.0	
8527291	39.0	saccade	0.0	
8527330	244.0	fixation	0.0	
8527574	10.0	saccade	0.0	
8527584	279.0	fixation	0.0	
8527863	21.0	saccade	0.0	
8527884	306.0	fixation	0.0	
8528190	22.0	saccade	0.0	
8528212	309.0	fixation	0.0	
8528552	78.0	blink	1.0	
8528527	141.0	saccade	0.0	
8528925				CS
8528678	304.0	fixation	0.0	
8528982	8.0	saccade	0.0	
8528991	250.0	fixation	0.0	
8529241	22.0	saccade	0.0	
8529263	246.0	fixation	0.0	
8529509	29.0	saccade	0.0	
8529538	381.0	fixation	0.0	
8529919	16.0	saccade	0.0	
8529936	180.0	fixation	0.0	
8530157	79.0	blink	1.0	
8530128	147.0	saccade	0.0	
8530295	616.0	fixation	0.0	
8530911	12.0	saccade	0.0	
8530923	409.0	fixation	0.0	
8531333	11.0	saccade	0.0	
8531343	372.0	fixation	0.0	
8531715	6.0	saccade	0.0	
8531721	652.0	fixation	0.0	
8531996	23.0	saccade	0.0	
8532018	274.0	fixation	0.0	
8532292	7.0	saccade	0.0	
8532300	166.0	fixation	0.0	
8532466	33.0	saccade	0.0	
