onset	duration	event_type	blink	message
9282617				NO Reply is disabled for function eyelink_cal_result
9282683				RECCFG CR 1000 2 0 LR
9282683				ELCLCFG BTOWER
9282683				GAZE_COORDS 0.00 0.00 1920.00 1080.00
9282683				THRESHOLDS L 148 237 R 127 243
9282683				ELCL_WINDOW_SIZES 160 160 0 0
9282683				CAMERA_LENS_FOCAL_LENGTH 27.00
9282683				PUPIL_DATA_TYPE RAW_AUTOSLIP
9282683				ELCL_PROC ELLIPSE (5)
9282683				ELCL_EFIT_PARAMS 1.01 4.00 0.15 0.05 0.65 0.65 0.00 0.00 0.30
9282693	330.0	fixation	0.0	
9283021	23.0	saccade	0.0	
9283044	391.0	fixation	0.0	
9283435	31.0	saccade	0.0	
9283468	395.0	fixation	0.0	
9283862	21.0	saccade	0.0	
9283884	251.0	fixation	0.0	
9284168	61.0	blink	1.0	
9284142	133.0	saccade	0.0	
9284287	365.0	fixation	0.0	
9284653	9.0	saccade	0.0	
9284662	305.0	fixation	0.0	
9284966	18.0	saccade	0.0	
9284986	260.0	fixation	0.0	
9285244	22.0	saccade	0.0	
9285271	338.0	fixation	0.0	
9285604	14.0	saccade	0.0	
9285619	300.0	fixation	0.0	
9285918	18.0	saccade	0.0	
9285936	752.0	fixation	0.0	
9286690	8.0	saccade	0.0	
9286699	317.0	fixation	0.0	
9287016	10.0	saccade	0.0	
9287027	174.0	fixation	0.0	
9287208	87.0	saccade	0.0	
9287319	329.0	fixation	0.0	
9287651	18.0	saccade	0.0	
9287667	224.0	fixation	0.0	
9287935	50.0	blink	1.0	
9287899	130.0	saccade	0.0	
9288055	291.0	fixation	0.0	
9288348	9.0	saccade	0.0	
9288358	246.0	fixation	0.0	
9288656	34.0	blink	1.0	
9288617	121.0	saccade	0.0	
9288766	296.0	fixation	0.0	
9289063	17.0	saccade	0.0	
9289081	255.0	fixation	0.0	
9289375	66.0	blink	1.0	
9289345	148.0	saccade	0.0	
9289525	684.0	fixation	0.0	
9290209	9.0	saccade	0.0	
9290219	622.0	fixation	0.0	
9290842	15.0	saccade	0.0	
9290857	259.0	fixation	0.0	
9291116	20.0	saccade	0.0	
9291137	160.0	fixation	0.0	
9291298	22.0	saccade	0.0	
9291320	351.0	fixation	0.0	
9291672	13.0	saccade	0.0	
9291686	319.0	fixation	0.0	
9292004	21.0	saccade	0.0	
9292025	1049.0	fixation	0.0	
9293075	19.0	saccade	0.0	
9293094	216.0	fixation	0.0	
9293310	19.0	saccade	0.0	
9293330	3350.0	fixation	0.0	
9296680	8.0	saccade	0.0	
9296689	4521.0	fixation	0.0	
9301210	12.0	saccade	0.0	
9301222	996.0	fixation	0.0	
9302251	85.0	blink	1.0	
9302227	150.0	saccade	0.0	
9306185				CS
9302402	8386.0	fixation	0.0	
9310836	26.0	blink	1.0	
9310794	116.0	saccade	0.0	
9310945	1510.0	fixation	0.0	
9312455	14.0	saccade	0.0	
9312470	352.0	fixation	0.0	
9312822	36.0	saccade	0.0	
9312858	552.0	fixation	0.0	
9313411	26.0	saccade	0.0	
9313445	2478.0	fixation	0.0	
9315924	16.0	saccade	0.0	
9315940	506.0	fixation	0.0	
