onset	duration	event_type	stimulus_name	task_name
101.347	15.0	block_start	block_start	habituation
116.347	8.0	CS+	square	habituation
131.847	8.0	CS-	diamond	habituation
146.596	8.0	CS-	diamond	habituation
160.846	8.0	CS+	square	habituation
178.092	8.0	CS+	square	acquisition
185.592	0.5	US	shock	acquisition
195.091	8.0	CS+	square	acquisition
202.591	0.5	US	shock	acquisition
209.847	8.0	CS-	diamond	acquisition
224.847	8.0	CS-	diamond	acquisition
240.596	8.0	CS+	square	acquisition
248.096	0.5	US	shock	acquisition
255.845	8.0	CS+	square	acquisition
272.345	8.0	CS-	diamond	acquisition
287.847	8.0	CS-	diamond	acquisition
304.097	8.0	CS+	square	acquisition
311.597	0.5	US	shock	acquisition
320.846	8.0	CS-	diamond	acquisition
335.096	8.0	CS+	square	acquisition
342.596	0.5	US	shock	acquisition
351.095	8.0	CS-	diamond	acquisition
365.598	8.0	CS-	diamond	acquisition
380.847	8.0	CS+	square	acquisition
388.347	0.5	US	shock	acquisition
395.597	8.0	CS+	square	acquisition
412.096	8.0	CS-	diamond	acquisition
435.096	0.0	block_end	block_end	acquisition
