onset	duration	event_type	blink	message
3812992				NO Reply is disabled for function eyelink_cal_result
3813058				RECCFG CR 1000 2 0 LR
3813058				ELCLCFG BTOWER
3813058				GAZE_COORDS 0.00 0.00 1920.00 1080.00
3813058				THRESHOLDS L 103 230 R 130 243
3813058				ELCL_WINDOW_SIZES 160 160 0 0
3813058				CAMERA_LENS_FOCAL_LENGTH 27.00
3813058				PUPIL_DATA_TYPE RAW_AUTOSLIP
3813058				ELCL_PROC ELLIPSE (5)
3813058				ELCL_EFIT_PARAMS 1.01 4.00 0.15 0.05 0.65 0.65 0.00 0.00 0.30
3813066	161.0	fixation	0.0	
3813229	58.0	saccade	0.0	
3813285	257.0	fixation	0.0	
3813543	95.0	saccade	0.0	
3813641	187.0	fixation	0.0	
3813829	48.0	saccade	0.0	
3813878	455.0	fixation	0.0	
3814334	19.0	saccade	0.0	
3814368	1261.0	fixation	0.0	
3815615	21.0	saccade	0.0	
3815638	1361.0	fixation	0.0	
3817003	22.0	saccade	0.0	
3817022	1153.0	fixation	0.0	
3818177	23.0	saccade	0.0	
3818197	898.0	fixation	0.0	
3819098	21.0	saccade	0.0	
3819117	1009.0	fixation	0.0	
3820133	8.0	saccade	0.0	
3820139	788.0	fixation	0.0	
3820929	14.0	saccade	0.0	
3820949	286.0	fixation	0.0	
3821227	22.0	saccade	0.0	
3821250	724.0	fixation	0.0	
3821973	40.0	saccade	0.0	
3822013	262.0	fixation	0.0	
3822276	24.0	saccade	0.0	
3822300	261.0	fixation	0.0	
3822598	170.0	blink	1.0	
3822566	270.0	saccade	0.0	
3822868	358.0	fixation	0.0	
3823190	15.0	saccade	0.0	
3823210	1452.0	fixation	0.0	
3824663	10.0	saccade	0.0	
3824674	1847.0	fixation	0.0	
3826564	166.0	blink	1.0	
3826524	320.0	saccade	0.0	
3826869	69.0	fixation	0.0	
3826913	92.0	saccade	0.0	
3827005	688.0	fixation	0.0	
3827557	19.0	saccade	0.0	
3827576	426.0	fixation	0.0	
3828004	20.0	saccade	0.0	
3828040	1788.0	fixation	0.0	
3829828	22.0	saccade	0.0	
3829851	3889.0	fixation	0.0	
3833740	35.0	saccade	0.0	
3833777	341.0	fixation	0.0	
3834119	31.0	saccade	0.0	
3835068				CS
3834150	1349.0	fixation	0.0	
3835539	211.0	blink	1.0	
3835498	360.0	saccade	0.0	
3835893	23.0	fixation	0.0	
3835916	28.0	saccade	0.0	
3835944	30.0	fixation	0.0	
3835974	21.0	saccade	0.0	
3835995	189.0	fixation	0.0	
3836048	25.0	saccade	0.0	
3836072	776.0	fixation	0.0	
3836849	22.0	saccade	0.0	
3836870	219.0	fixation	0.0	
