onset	duration	event_type	blink	message
2935545				NO Reply is disabled for function eyelink_cal_result
2935599				RECCFG CR 1000 2 0 LR
2935599				ELCLCFG BTOWER
2935599				GAZE_COORDS 0.00 0.00 1920.00 1080.00
2935599				THRESHOLDS L 103 230 R 130 243
2935599				ELCL_WINDOW_SIZES 160 160 0 0
2935599				CAMERA_LENS_FOCAL_LENGTH 27.00
2935599				PUPIL_DATA_TYPE RAW_AUTOSLIP
2935599				ELCL_PROC ELLIPSE (5)
2935599				ELCL_EFIT_PARAMS 1.01 4.00 0.15 0.05 0.65 0.65 0.00 0.00 0.30
2935607	272.0	fixation	0.0	
2935879	40.0	saccade	0.0	
2935923	173.0	fixation	0.0	
2936162	187.0	blink	1.0	
2936097	302.0	saccade	0.0	
2936427	68.0	fixation	0.0	
2936466	21.0	saccade	0.0	
2936487	179.0	fixation	0.0	
2936667	24.0	saccade	0.0	
2936692	2044.0	fixation	0.0	
2938735	21.0	saccade	0.0	
2938758	375.0	fixation	0.0	
2939134	25.0	saccade	0.0	
2939161	653.0	fixation	0.0	
2939815	20.0	saccade	0.0	
2939835	433.0	fixation	0.0	
2940310	130.0	blink	1.0	
2940284	247.0	saccade	0.0	
2940585	233.0	fixation	0.0	
2940765	20.0	saccade	0.0	
2940786	390.0	fixation	0.0	
2941175	158.0	saccade	0.0	
2941333	100.0	fixation	0.0	
2941434	23.0	saccade	0.0	
2941459	365.0	fixation	0.0	
2941824	17.0	saccade	0.0	
2941843	5530.0	fixation	0.0	
2947413	286.0	blink	1.0	
2947373	402.0	saccade	0.0	
2947782	131.0	fixation	0.0	
2947906	10.0	saccade	0.0	
2947916	147.0	fixation	0.0	
2948063	21.0	saccade	0.0	
2948084	2659.0	fixation	0.0	
2950473	171.0	blink	1.0	
2950443	249.0	saccade	0.0	
2950692	29.0	fixation	0.0	
2950721	298.0	saccade	0.0	
2950763	34.0	fixation	0.0	
2950797	21.0	saccade	0.0	
2950818	3483.0	fixation	0.0	
2954302	20.0	saccade	0.0	
2954321	1338.0	fixation	0.0	
2955716	371.0	blink	1.0	
2955659	427.0	saccade	0.0	
2956124	257.0	fixation	0.0	
2956350	32.0	saccade	0.0	
2956381	31.0	fixation	0.0	
2956412	21.0	saccade	0.0	
2956433	676.0	fixation	0.0	
2957051	16.0	saccade	0.0	
2961106				CS
2957067	4185.0	fixation	0.0	
2961283	150.0	blink	1.0	
2961254	241.0	saccade	0.0	
2961509	55.0	fixation	0.0	
2961550	30.0	saccade	0.0	
2961580	97.0	fixation	0.0	
2961677	21.0	saccade	0.0	
2961698	177.0	fixation	0.0	
2961876	21.0	saccade	0.0	
2961899	248.0	fixation	0.0	
2962149	19.0	saccade	0.0	
2962167	801.0	fixation	0.0	
2962966	37.0	saccade	0.0	
2963024	340.0	fixation	0.0	
2963364	21.0	saccade	0.0	
2963387	736.0	fixation	0.0	
2964123	7.0	saccade	0.0	
2964130	316.0	fixation	0.0	
2964447	12.0	saccade	0.0	
2964458	1210.0	fixation	0.0	
2965733	224.0	blink	1.0	
2965671	348.0	saccade	0.0	
2966016	61.0	fixation	0.0	
2966077	427.0	saccade	0.0	
2966114	113.0	fixation	0.0	
2966245	24.0	saccade	0.0	
2966281	1150.0	fixation	0.0	
2967420	30.0	saccade	0.0	
2967450	395.0	fixation	0.0	
2967847	17.0	saccade	0.0	
2967865	465.0	fixation	0.0	
2968332	12.0	saccade	0.0	
2968345	75.0	fixation	0.0	
2968419	5.0	saccade	0.0	
2968424	773.0	fixation	0.0	
2969197	5.0	saccade	0.0	
2969202	165.0	fixation	0.0	
2969369	21.0	saccade	0.0	
2969416	615.0	fixation	0.0	
2970086	190.0	blink	1.0	
2970050	340.0	saccade	0.0	
2970390	36.0	fixation	0.0	
2970426	404.0	saccade	0.0	
2970451	411.0	fixation	0.0	
2970867	58.0	saccade	0.0	
2970921	194.0	fixation	0.0	
2971124	14.0	saccade	0.0	
2971141	356.0	fixation	0.0	
2971497	12.0	saccade	0.0	
2971509	1803.0	fixation	0.0	
2973312	11.0	saccade	0.0	
2973323	132.0	fixation	0.0	
2973456	24.0	saccade	0.0	
2973482	824.0	fixation	0.0	
2974306	6.0	saccade	0.0	
2974312	999.0	fixation	0.0	
2974481	24.0	saccade	0.0	
2974538	287.0	fixation	0.0	
2974828	12.0	saccade	0.0	
2974841	79.0	fixation	0.0	
2974916	13.0	saccade	0.0	
2974929	3656.0	fixation	0.0	
2978586	56.0	saccade	0.0	
2978647	3034.0	fixation	0.0	
2981712	141.0	blink	1.0	
2981683	223.0	saccade	0.0	
2981906	20.0	fixation	0.0	
2981926	259.0	saccade	0.0	
